"station","X8am","X9am","X10am","X11am","X12pm","lat","lon"
"74DA3895C1F8",46.57142857,38.58660827,18.56285145,23.55656967,28.49172037,24.149,120.681
"74DA3895C200",45.57142857,38.30352342,23.79966908,22.73661337,29.17146316,24.138,120.673
"74DA3895C20C",43,37.13755476,25.53231498,25.91605902,26.71601122,24.159,120.659
"74DA3895C216",46.75,33.65629449,18.70399975,23.21116558,26.8161078,24.166,120.678
"74DA3895C232",49.16666667,40.50121227,30.0533941,28.02367365,33.70681707,24.108,120.64
"74DA3895C234",36,38.01586205,24.74165201,23.14859841,23.21141345,24.244,120.609
"74DA3895C240",20.33333333,33.3702299,43.75239698,34.93168668,47.27421789,24.243,120.542
"74DA3895C246",20,36.60657893,45.04855481,54.74682538,46.88313216,24.229,120.532
"74DA3895C248",19.33333333,30.90229428,45.83368755,47.78811965,41.61547832,24.235,120.535
"74DA3895C24A",30,38.90168233,44.02323655,40.07735354,61.40590061,24.239,120.554
"74DA3895C24C",27.33333333,39.65081988,28.39509193,40.13132941,49.74247148,24.348,120.624
"74DA3895C24E",29.5,41.83712328,30.25956947,28.2505293,44.87668708,24.341,120.629
"74DA3895C250",11.5,11.64832879,14.27818822,16.09134763,19.18844596,24.244,120.528
"74DA3895C252",53,48.60054304,42.28881261,76.71708776,51.75778648,24.276,120.635
"74DA3895C25C",16.5,23.59113876,36.10246143,34.3076992,46.02332876,24.25,120.538
"74DA3895C25E",40,17.51191365,15.6325232,16.20801632,18.01037157,24.254,120.72
"74DA3895C26E",56,48.56488583,30.23207196,30.50424621,29.05450168,24.164,120.649
"74DA3895C276",51.5,42.434056,35.49064196,30.98440685,25.67654117,24.172,120.639
"74DA3895C278",42.5,23.13569568,22.12445338,24.48741813,34.67841156,24.249,120.697
"74DA3895C282",30,29.92296516,26.06638448,25.58692864,25.28288137,24.276,120.773
"74DA3895C28A",46,51.51095697,45.49946664,43.1851359,33.76765078,24.179,120.64
"74DA3895C28C",55,51.8557572,52.46331859,33.04466612,29.55749593,24.199,120.648
"74DA3895C2A6",17.57142857,27.09995524,38.97827014,31.33297149,42.04660475,24.201,120.522
"74DA3895C2C6",44,35.53891386,26.94698386,30.40611478,39.01672171,24.124,120.724
"74DA3895C2CC",54,45.00416167,25.87031948,29.14099603,32.37763419,24.125,120.679
"74DA3895C2CE",55.5,50.65251555,23.81311714,29.50146587,34.27819604,24.128,120.69
"74DA3895C2DE",44.5,54.74310892,50.94290586,48.26650989,48.08365687,24.123,120.752
"74DA3895C30E",38,45.23820328,25.80283384,21.0241486,22.38940618,24.168,120.759
"74DA3895C32E",41.6,28.94317955,21.29612289,19.96160941,22.17914392,24.171,120.695
"74DA3895C34A",42,41.62186398,41.69073911,41.63387976,41.67137054,24.179,120.671
"74DA3895C374",20.8,31.74237875,32.579189,28.67006708,49.15231363,24.196,120.547
"74DA3895C37C",39.6,37.86148455,25.73168276,27.50284221,19.93969833,24.157,120.632
"74DA3895C37E",36.875,34.13686507,30.35365009,31.1981291,28.95150282,24.134,120.608
"74DA3895C380",50.5,46.72438977,37.59840328,32.54506848,43.24310883,24.122,120.628
"74DA3895C382",35.66666667,23.41904479,15.42959203,17.70939901,14.46949684,24.311,120.678
"74DA3895C384",36,16.90103194,33.49670105,20.79747445,69.37663306,24.301,120.711
"74DA3895C386",16.33333333,29.49532127,36.67384949,41.86698902,29.20352884,24.345,120.588
"74DA3895C390",41.375,37.77953444,22.55747576,22.02018961,21.42254718,24.136,120.638
"74DA3895C3CE",46.5,31.97928578,21.00947745,27.51697577,28.76139194,24.185,120.667
"74DA3895C3D0",40.33333333,40.62513432,30.5810543,26.60806235,25.81337266,24.175,120.716
"74DA3895C3D4",47,41.64716234,27.48941765,19.1547813,28.02824788,24.17,120.668
"74DA3895C3D6",49.75,38.9770178,17.48775903,26.87783747,34.09083478,24.172,120.682
"74DA3895C3DA",42,31.59638055,16.1579013,19.33993338,25.83739014,24.16,120.673
"74DA3895C3DE",46,27.54487165,20.21019117,26.04487801,25.09124521,24.163,120.691
"74DA3895C3E0",40,40.77116227,44.29168426,36.91501285,34.59982986,24.122,120.569
"74DA3895C3F4",48.75,37.17959193,23.37563177,34.9619425,32.08124118,24.194,120.662
"74DA3895C3F6",43.33333333,35.09001096,19.62647364,22.10675418,28.4916791,24.143,120.681
"74DA3895C3F8",35,39.10395389,43.81737913,35.00751945,40.37022069,24.134,120.556
"74DA3895C3FA",50,36.18493884,23.5678983,25.08296765,32.51508883,24.192,120.678
"74DA3895C402",17.66666667,12.33886589,14.9313666,16.18155639,17.78160628,24.255,121.259
"74DA3895C424",47,24.36536124,30.45086492,23.45500046,25.46285263,24.349,120.656
"74DA3895C454",19,29.46646583,30.80780531,45.10721799,35.20846724,24.312,120.561
"74DA3895C456",36,21.3374434,14.91195223,16.53786273,29.95868623,24.252,120.835
"74DA3895C45E",43,17.7024395,17.40039677,20.66548755,21.53560919,24.159,120.706
"74DA3895C462",29.75,32.77809974,25.91154125,24.35140007,23.55650964,24.154,120.719
"74DA3895C470",43.5,40.09023651,45.47100576,44.58380255,39.45873833,24.109,120.731
"74DA3895C474",34.66666667,35.41210228,35.71429821,34.23524114,35.9129015,24.183,120.93
"74DA3895C478",51.16666667,40.86289041,35.61798408,30.90938772,30.52255332,24.137,120.699
"74DA3895C47A",50.83333333,39.4429843,15.95246522,26.91776766,28.92240608,24.145,120.693
"74DA3895C48C",28,30.79349811,26.915568,25.34980751,21.94787865,24.057,120.699
"74DA3895C496",43,47.50480029,45.05402028,43.86147683,39.49023417,24.066,120.735
"74DA3895C49C",35,43.97940699,27.04247904,31.11896519,24.08520124,24.104,120.687
"74DA3895C4A4",30,43.33075182,40.92304643,40.39410863,35.10157277,24.035,120.724
"74DA3895C4A6",17,32.03217533,29.8775864,25.39840211,40.49423716,24.266,120.573
"74DA3895C4AC",49.25,34.22460126,28.27650836,29.63012239,26.06228478,24.167,120.709
"74DA3895C4AE",37.5,18.58413108,21.70112754,23.19119782,18.01305981,24.346,120.704
"74DA3895C4B0",31.5,35.32024427,32.59411092,28.42610245,19.35400308,24.163,120.881
"74DA3895C4B2",34.5,37.51374223,22.35751321,20.54334642,16.93383487,24.241,120.787
"74DA3895C4B6",42.66666667,25.97289652,25.86637981,24.41078645,22.23423009,24.237,120.85
"74DA3895C4BA",43.33333333,37.36890423,40.29672815,22.37915457,18.94817415,24.145,120.737
"74DA3895C4BE",26.42857143,27.05649928,27.22058632,26.28773734,34.70249054,24.348,120.627
"74DA3895C4C0",27,12.76924461,29.27405831,16.23907331,13.39735729,24.315,120.69
"74DA3895C4C2",35,31.78338276,20.26677402,19.56638828,16.49779028,24.114,120.684
"74DA3895C4C8",17,26.38527055,43.09138489,31.82140156,46.77848439,24.216,120.526
"74DA3895C4CA",31.75,15.1505715,15.13889566,13.88208878,16.32439167,24.252,120.713
"74DA3895C4D2",52.75,51.10702539,29.09774064,27.50258111,27.4786287,24.07,120.702
"74DA3895C4D4",49,50.85535082,47.47364474,38.03840729,25.62181735,24.028,120.697
"74DA3895C4D6",44.5,39.43240616,26.90016996,18.48138401,25.36358343,24.073,120.667
"74DA3895C4D8",33.66666667,36.03818369,33.5805007,27.8196712,25.98504563,24.139,120.715
"74DA3895C4F6",19.77777778,31.08395013,45.87337481,43.67723294,44.89371632,24.279,120.556
"74DA3895C4FC",23.6,42.60981405,32.50963482,44.83272881,50.59579211,24.276,120.574
"74DA3895C500",24.33333333,32.23005341,33.43714779,29.7612693,43.48537966,24.213,120.55
"74DA3895C504",40.6,17.76996617,18.965252,21.53604219,17.97558729,24.249,120.712
"74DA3895C508",13.4,17.54330389,10.31524149,13.57142915,10.44289908,24.307,120.714
"74DA3895C50A",9,11.02566053,11.74727365,11.26366416,12.47168918,24.201,121.006
"74DA3895C50E",42,36.14084881,24.15278662,21.50910114,21.09055015,24.22,120.646
"74DA3895C510",29.4,17.40066483,16.73834181,17.8737938,19.10824851,24.212,120.709
"74DA3895C512",39.66666667,31.8448382,16.42080133,15.52371649,17.657004,24.332,120.653
"74DA3895C516",34,18.31142593,22.09507155,27.12036551,17.12071024,24.261,120.715
"74DA3895C51C",45,36.94500661,26.2304225,22.56762153,20.35887135,24.223,120.65
"74DA3895C51E",38,16.14738317,18.44629704,17.26135303,23.61771773,24.262,120.703
"74DA3895C520",43.57142857,37.39187601,13.95567908,19.90806584,22.03304767,24.111,120.695
"74DA3895C522",14,7.878367322,2.763440024,5.569709429,5.442677666,24.219,120.667
"74DA3895C526",42.2,19.37715904,18.3123404,20.33492211,18.88350664,24.203,120.725
"74DA3895C530",50.2,41.5870031,26.53955422,43.02500068,23.18532341,24.259,120.661
"74DA3895C538",46,42.24720306,27.45731071,27.6464022,27.45528255,24.229,120.643
"74DA3895C53A",46,44.28452261,41.00025357,61.44751082,59.38139496,24.23,120.626
"74DA3895C53C",38.25,41.00102402,40.29055073,38.65625593,37.20292731,24.154,120.546
"74DA3895C548",43.5,38.28294401,31.64187146,23.20629592,20.84269136,24.273,120.658
"74DA3895C550",40,39.55051816,39.99609367,40.9993595,31.75319497,24.171,120.895
"74DA3895C554",39.75,33.21391032,21.48981022,18.28683824,17.31043288,24.227,120.805
"74DA3895C556",31,29.65212223,22.53418815,23.65840476,20.77562994,24.206,120.819
"74DA3895C558",48,36.14585872,37.46212656,22.2795872,19.35293873,24.24,120.81
"74DA3895C562",47,43.51298082,26.23871718,22.53196538,24.55046696,24.086,120.702
"74DA3895C566",43,39.06423924,20.72029594,21.63943358,26.67081185,24.106,120.687
"74DA3895C570",37.25,20.89657331,13.35898145,17.14350377,21.57741006,24.216,120.684
"74DA3895C578",37.4,33.29096242,20.42108556,19.18088796,21.13684656,24.337,120.664
"74DA3895C57A",19,15.33936207,19.1056756,17.19862611,14.93652108,24.266,120.807
"74DA3895C580",43.83333333,38.37514029,35.62994316,23.71813144,23.6031351,24.193,120.812
"74DA3895C582",56.5,46.1680816,46.56873858,45.67395069,43.09698801,24.17,120.664
"74DA3895C586",44,39.43293247,30.65678089,30.62443336,47.84829713,24.184,120.624
"74DA3895C594",42,36.18870831,28.16358885,28.79187212,38.4926877,24.149,120.615
"74DA3895C59A",51,46.33890782,24.26676725,25.97411447,30.87890138,24.169,120.652
"74DA3895C59C",44.83333333,40.84711978,42.62257994,40.38414497,30.22859456,24.041,120.639
"74DA3895C59E",53.75,48.68127761,28.2898704,28.00413558,28.71915268,24.1,120.677
"74DA3895C5A6",42.28571429,40.41767091,24.94673956,33.6870036,42.04236208,24.17,120.619
"74DA3895C5C6",37.5,36.38083878,40.3518934,25.50649132,27.30635315,24.168,120.573
"74DA3895C5D0",103.25,54.19826915,42.07415254,36.84147144,36.93804189,24.061,120.642
"74DA3895C5D8",52.25,45.31331635,27.03351116,27.54225027,31.46737279,24.135,120.648
"74DA3895C5DE",47,41.96608315,34.8258358,31.5019968,30.6144406,24.146,120.639
